Date,leveled log Nasdaq,leveled log S&P,leveled log Russell,leveled log DJIA,leveled log Gold,leveled log 1yr Treasury,leveled log 10yr Bond
1990-01-02,-0.3386286626857897,-0.23139945709233345,-0.1171924947447609,-0.2525093827927929,0.5742810626198214,-0.46769503614840513,-0.11788672474095563
1990-01-03,-0.32098504777497894,-0.21395744506976389,-0.10773684356722857,-0.22926670905754243,0.5605715001963887,-0.4619864682056831,-0.11140924022181675
1990-01-04,-0.32280433618441773,-0.21674633087641038,-0.1032238273760262,-0.2330587126531416,0.5568591746104286,-0.46521544544278015,-0.1124615885382827
1990-01-05,-0.3285491934402476,-0.22559662878831155,-0.10757231479096152,-0.23961488920179974,0.5722600560877806,-0.4684591401173428,-0.1110092402218168
1990-01-08,-0.33059780153607043,-0.2356007698663447,-0.11034463773273995,-0.24898743330077444,0.5782958745368658,-0.46529503614840495,-0.10706157812157713
1990-01-09,-0.3263141288622391,-0.23118346494116349,-0.1114111541079339,-0.23807144142430836,0.5753918678574079,-0.4685436618096994,-0.10686157812157715
1990-01-10,-0.33558281179348803,-0.24335316391820339,-0.11306865767251129,-0.2508990196735219,0.5828836332071843,-0.46922983562044385,-0.10541547204132984
1990-01-11,-0.34338173077313616,-0.25018225287279705,-0.12155281577711907,-0.24872942741347792,0.6013784261379156,-0.4686298356204439,-0.1039709168091254
1990-01-12,-0.36380763315551246,-0.2468756931597884,-0.12131695625660921,-0.2646594301097185,0.6019243987546865,-0.4693176658048728,-0.09633593832160692
1990-01-15,-0.37432454545387817,-0.2720603065318894,-0.14358004620074283,-0.27964030450330224,0.6050011506367072,-0.4584611656376838,-0.08998207274722914
1990-01-16,-0.3867932594120793,-0.2809170696476384,-0.15261795284304824,-0.29379220525201344,0.6045807484934036,-0.44770879417366505,-0.0836658457297923
1990-01-17,-0.36968955462376485,-0.26999226936839715,-0.15064977715799532,-0.27635200683974315,0.5930195045848334,-0.44837221822043727,-0.08468610213502181
1990-01-18,-0.379799118722155,-0.28013084767117924,-0.14978700966269187,-0.29657567315262234,0.5999993231942193,-0.43022790856952753,-0.06873774516688247
1990-01-19,-0.3702895546237652,-0.27799212636161474,-0.15456181402204017,-0.28163464726365106,0.5924195045848331,-0.4358584583201641,-0.07577541246711306
1990-01-22,-0.3724072965219012,-0.2753869542914975,-0.14995892393443366,-0.2847368161063901,0.5874813905702307,-0.4377615885382826,-0.07436549096440004
1990-01-23,-0.3892176736280657,-0.301756477738917,-0.16522645385673407,-0.30521084550755884,0.5869366823835209,-0.43841550719787614,-0.0753754124671131
1990-01-24,-0.41908342659896825,-0.298240465611987,-0.1700046365284944,-0.33323410429119704,0.5991619266912727,-0.4340584583201639,-0.06075208550600797
1990-01-25,-0.3995761433964189,-0.30251974668598347,-0.18442960866922586,-0.307186204131507,0.6070458693480836,-0.4297154720413294,-0.05579017174576473
1990-01-26,-0.40949492958087497,-0.3154265953815223,-0.18593158258338782,-0.32836973199242614,0.6114095549310257,-0.4241465177181425,-0.047310999676744014
1990-01-29,-0.41310077438613124,-0.3165163406644682,-0.19500517812912221,-0.3280531161680118,0.6150388330709147,-0.42230812746699575,-0.045933836503729175
1990-01-30,-0.42913405720817455,-0.31855958542597573,-0.20589753512732756,-0.3299382968349942,0.6077028491224645,-0.4204712689295995,-0.0445580574147173
1990-01-31,-0.43909130243155925,-0.3256095641412431,-0.22141434594456566,-0.3312078003138774,0.606804297599238,-0.4211081274669959,-0.053803227986235935
1990-02-01,-0.42829353835163,-0.3070991572033428,-0.21739890189144795,-0.3169897071251677,0.596152736701133,-0.41927126892959965,-0.05479017174576484
1990-02-02,-0.42380654965691367,-0.3081807235326881,-0.21054771419596374,-0.321988182302789,0.6057251982967458,-0.4137390764402804,-0.04513383650372926
1990-02-05,-0.4143642697093082,-0.3019233063935989,-0.20034399275046333,-0.31559482249842485,0.6087740831392754,-0.41068207274722823,-0.04141063849641258
1990-02-06,-0.40971083107558215,-0.2993169223276082,-0.19763569529503222,-0.30855837721271406,0.6147825013700885,-0.4100820727472283,-0.03653226739031146
1990-02-07,-0.41709468596398747,-0.3061381675630761,-0.19525508352902854,-0.3186214937044074,0.6109165876901477,-0.40703109112808855,-0.042183659158775644
1990-02-08,-0.4014094182284822,-0.2940077902855407,-0.18705035454876473,-0.2994820861739109,0.6072768899295298,-0.41133907644028067,-0.04551099967674421
1990-02-09,-0.40194259840446644,-0.29639748479407846,-0.18482552205974745,-0.2984213607022248,0.6069768899295296,-0.4231154720413297,-0.0667403911326434
1990-02-12,-0.4020094182284826,-0.29479739426120144,-0.18197849035705715,-0.3005095289598936,0.5988807484934036,-0.418786443481463,-0.055768294150732256
