Date,Close
"2010-07-18 00:00:00",0.09
"2010-07-19 00:00:00",0.08
"2010-07-20 00:00:00",0.07
"2010-07-21 00:00:00",0.08
"2010-07-22 00:00:00",0.05
"2010-07-23 00:00:00",0.06
"2010-07-24 00:00:00",0.05
"2010-07-25 00:00:00",0.05
"2010-07-26 00:00:00",0.06
"2010-07-27 00:00:00",0.06
"2010-07-28 00:00:00",0.06
"2010-07-29 00:00:00",0.07
"2010-07-30 00:00:00",0.06
"2010-07-31 00:00:00",0.07
"2010-08-01 00:00:00",0.06
"2010-08-02 00:00:00",0.06
"2010-08-03 00:00:00",0.06
"2010-08-04 00:00:00",0.06
"2010-08-05 00:00:00",0.06
"2010-08-06 00:00:00",0.06
"2010-08-07 00:00:00",0.06
"2010-08-08 00:00:00",0.06
"2010-08-09 00:00:00",0.07
"2010-08-10 00:00:00",0.07
"2010-08-11 00:00:00",0.07
"2010-08-12 00:00:00",0.07
"2010-08-13 00:00:00",0.06
"2010-08-14 00:00:00",0.07
"2010-08-15 00:00:00",0.07
"2010-08-16 00:00:00",0.07
"2010-08-17 00:00:00",0.07
"2010-08-18 00:00:00",0.07
"2010-08-19 00:00:00",0.07
"2010-08-20 00:00:00",0.07
"2010-08-21 00:00:00",0.07
"2010-08-22 00:00:00",0.07
"2010-08-23 00:00:00",0.06
"2010-08-24 00:00:00",0.06
"2010-08-25 00:00:00",0.06
"2010-08-26 00:00:00",0.06
"2010-08-27 00:00:00",0.06
"2010-08-28 00:00:00",0.06
"2010-08-29 00:00:00",0.06
"2010-08-30 00:00:00",0.06
"2010-08-31 00:00:00",0.06
"2010-09-01 00:00:00",0.06
"2010-09-02 00:00:00",0.06
"2010-09-03 00:00:00",0.06
"2010-09-04 00:00:00",0.06
"2010-09-05 00:00:00",0.06
"2010-09-06 00:00:00",0.06
"2010-09-07 00:00:00",0.06
"2010-09-08 00:00:00",0.06
"2010-09-09 00:00:00",0.06
"2010-09-10 00:00:00",0.06
"2010-09-11 00:00:00",0.06
"2010-09-12 00:00:00",0.06
"2010-09-13 00:00:00",0.06
"2010-09-14 00:00:00",0.06
"2010-09-15 00:00:00",0.06
"2010-09-16 00:00:00",0.06
"2010-09-17 00:00:00",0.06
"2010-09-18 00:00:00",0.06
"2010-09-19 00:00:00",0.06
"2010-09-20 00:00:00",0.06
"2010-09-21 00:00:00",0.06
"2010-09-22 00:00:00",0.06
"2010-09-23 00:00:00",0.06
"2010-09-24 00:00:00",0.06
"2010-09-25 00:00:00",0.06
"2010-09-26 00:00:00",0.06
"2010-09-27 00:00:00",0.06
"2010-09-28 00:00:00",0.06
"2010-09-29 00:00:00",0.06
"2010-09-30 00:00:00",0.06
"2010-10-01 00:00:00",0.06
"2010-10-02 00:00:00",0.06
"2010-10-03 00:00:00",0.06
"2010-10-04 00:00:00",0.06
"2010-10-05 00:00:00",0.06
"2010-10-06 00:00:00",0.06
"2010-10-07 00:00:00",0.07
"2010-10-08 00:00:00",0.09
"2010-10-09 00:00:00",0.09
"2010-10-10 00:00:00",0.1
"2010-10-11 00:00:00",0.09
"2010-10-12 00:00:00",0.09
"2010-10-13 00:00:00",0.1
"2010-10-14 00:00:00",0.1
"2010-10-15 00:00:00",0.1
"2010-10-16 00:00:00",0.1
"2010-10-17 00:00:00",0.1
"2010-10-18 00:00:00",0.1
"2010-10-19 00:00:00",0.1
"2010-10-20 00:00:00",0.1
"2010-10-21 00:00:00",0.11
"2010-10-22 00:00:00",0.1
"2010-10-23 00:00:00",0.11
"2010-10-24 00:00:00",0.11
"2010-10-25 00:00:00",0.13
"2010-10-26 00:00:00",0.15
"2010-10-27 00:00:00",0.19
"2010-10-28 00:00:00",0.17
"2010-10-29 00:00:00",0.19
"2010-10-30 00:00:00",0.2
"2010-10-31 00:00:00",0.19
"2010-11-01 00:00:00",0.2
"2010-11-02 00:00:00",0.19
"2010-11-03 00:00:00",0.19
"2010-11-04 00:00:00",0.23
"2010-11-05 00:00:00",0.26
"2010-11-06 00:00:00",0.39
"2010-11-07 00:00:00",0.34
"2010-11-08 00:00:00",0.24
"2010-11-09 00:00:00",0.21
"2010-11-10 00:00:00",0.24
"2010-11-11 00:00:00",0.22
"2010-11-12 00:00:00",0.27
"2010-11-13 00:00:00",0.28
"2010-11-14 00:00:00",0.28
"2010-11-15 00:00:00",0.27
"2010-11-16 00:00:00",0.22
"2010-11-17 00:00:00",0.23
"2010-11-18 00:00:00",0.27
"2010-11-19 00:00:00",0.28
"2010-11-20 00:00:00",0.28
"2010-11-21 00:00:00",0.28
"2010-11-22 00:00:00",0.29
"2010-11-23 00:00:00",0.28
