Date,leveled log Nasdaq,leveled log S&P,leveled log DJIA
1985-01-29,-0.00038924366406600797,-0.00032449948146417995,-0.0003520804655511348
1985-01-30,0.013313973536750012,0.009334813086034899,0.014557756652339594
1985-01-31,0.0111290749515085,0.01018166663855169,0.0032546636020068655
1985-02-01,0.0096608238216227,0.011194173636273064,-0.002018994163888196
1985-02-04,0.012504900844359845,0.005287121990682486,-0.00618429781743637
1985-02-05,0.022818578216719843,0.014545407675798039,0.010594908732343117
1985-02-06,0.02950150011411079,0.015661483548505828,0.0031313430628153393
1985-02-07,0.03508456310346553,0.014339820218674859,0.0028648577001097637
1985-02-08,0.04271904310097874,0.021689693806539623,0.006458256735536972
1985-02-11,0.04510571380905937,0.02339807868689281,0.004484834334655027
1985-02-12,0.03671497320519457,0.013809619851357091,-0.008988804349614406
1985-02-13,0.03772197409605749,0.01376209160144981,-0.004138890179589407
1985-02-14,0.04566898546343534,0.028771397928988307,0.01408600743903348
1985-02-15,0.04181473493958876,0.023306893833336062,0.004015489510697789
1985-02-19,0.03620536468811064,0.01853197093126635,-0.0036467483917501254
1985-02-20,0.036164999439793455,0.016719558938510737,-0.003733227058073295
1985-02-21,0.03751821998760452,0.015567446367028559,-0.003913490081144581
1985-02-22,0.03608379944084916,0.00976383411815096,-0.006165304974210836
1985-02-25,0.027996890136296138,0.0048224386977979705,-0.012757727218462446
1985-02-26,0.02514584819981458,0.003772849242918319,-0.008169206924625179
1985-02-27,0.029323582533007375,0.014214280784203837,-0.0011908892325995686
1985-02-28,0.023310506823483124,0.01134755050034375,-0.0074874700044257276
1985-03-01,0.027843896010282698,0.013620449478241703,-0.0021518192937559615
1985-03-04,0.03618528209154359,0.024547148852843925,0.008767909361464873
1985-03-05,0.03475231593533401,0.01781676900153517,0.0008249692867188154
1985-03-06,0.03296985012832021,0.018425580975998557,0.0018439719441808305
1985-03-07,0.022068946734868256,0.009392902327106434,-0.01020298027491286
1985-03-08,0.01638214509870739,0.0027378672947664384,-0.013237101696190879
1985-03-11,0.014220793897936623,0.00012682155142762497,-0.01723960742983424
1985-03-12,0.010277886148230664,-0.0019301268858900045,-0.018545791702146017
1985-03-13,0.010244599067626758,0.0025996780863337676,-0.016203470648355846
1985-03-14,-0.004481807742846122,-0.005940611497170067,-0.02624848326078426
1985-03-15,-0.003067624407761649,-0.00823127177812033,-0.025806421260693484
1985-03-18,-0.0005781758454093122,-0.01594919048696486,-0.03178662630681067
1985-03-19,-0.004927734316591881,-0.014292953087919003,-0.035048787694099526
1985-03-20,0.0011554932349167046,0.00030896795368828833,-0.017531191093535355
1985-03-21,0.0011246297894329516,-0.002580872326833017,-0.02398110001888194
1985-03-22,0.0014516540719942128,-0.0013987789168234954,-0.017535640936941335
1985-03-25,-0.004682582053795237,-0.003453310364513129,-0.02634837596409153
1985-03-26,-0.010126074744396973,-0.009772012931365204,-0.030376862297782217
1985-03-27,-0.007624033385014606,-0.007515186581382949,-0.028273792000991754
1985-03-28,-0.003692125157938264,-0.0016380289350976796,-0.024081245856323076
1985-03-29,-0.004081368822004272,-0.0019625284165618595,-0.026354795899247035
1985-04-01,-0.00016794530382391315,0.0039318206246941045,-0.025654711752487222
1985-04-02,0.004439231187239656,0.006978141821852191,-0.01879070900285639
1985-04-03,-0.001662295240533851,0.0025629512083513717,-0.02644593213075463
1985-04-04,-0.008877482639860546,-0.005658363862106164,-0.03346203464541919
1985-04-08,-0.010709706367903138,-0.006429627186373743,-0.03126226245859099
1985-04-09,-0.013267386033462891,-0.012355440845623455,-0.03741920063768357
1985-04-10,-0.008964262358521324,-0.011669340662318284,-0.03407266855031078
1985-04-11,-0.0007482398604556906,-0.005227094624183692,-0.027771501064962976
1985-04-12,-6.705344907409483e-05,-0.0012691482516391517,-0.029349435339357105
1985-04-15,0.0006130952425307257,0.00034681252621560077,-0.030572341770364195
1985-04-16,0.003424971051066983,0.002124925502346997,-0.02656197085000759
1985-04-17,0.007641538894908706,0.003346869518437323,-0.02569246765655657
1985-04-18,0.010780880476952248,0.005667852252405403,-0.01885598747652244
1985-04-19,0.006155901615532144,0.0007091338103251132,-0.029970915809159164
1985-04-22,0.004704835176725375,0.001876581019407908,-0.026662086466464674
1985-04-23,0.0007682304983580579,-0.000714324463928051,-0.030501219604694266
1985-04-24,0.006402076787743738,0.005470151505990728,-0.01974049163713227
1985-04-25,0.00601283312367773,0.007232707211707101,-0.022173716103651445
1985-04-26,0.01125941258145513,0.013307081260161446,-0.01519854405456041
1985-04-29,0.006998948298297947,0.00614466750726006,-0.025991960943074956
1985-04-30,-0.002244611923095441,-0.0027242350419696137,-0.039089308148169216
1985-05-01,-0.004770629881613253,-0.007487531050073493,-0.03909128678327842
1985-05-02,-0.009447168521854898,-0.015963985291666205,-0.0496851539202524
1985-05-03,-0.009836412185920906,-0.012706859041023755,-0.050567791302908324
1985-05-06,-0.006294952074131999,-0.007071793088536005,-0.04835017043516731
1985-05-07,-0.007397652771171437,-0.00789617870394288,-0.04764423722956401
1985-05-08,-0.005291860414412319,-0.0039518428740237255,-0.04764382940937939
1985-05-09,-0.002127439992838376,-0.005051150097355794,-0.04542850454384629
1985-05-10,0.009472155665637416,0.001796020289337008,-0.03220570984207373
1985-05-13,0.01850217597905246,0.014360836440681979,-0.025787957584581203
1985-05-14,0.019500836785395492,0.015825499517328367,-0.02312333752206954
1985-05-15,0.01702896127261866,0.01148446180918583,-0.03152195414488704
1985-05-16,0.019762093085436305,0.014797207573351123,-0.027541065910213464
