date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2013-06-29,51465756.017,37949,1074010000.0,94.66,0.0,3950.0,25.1261887,null,
2013-06-30,35102076.6481,32088,1078260000.0,95.0,0.0,3950.0,30.26636173,null,
2013-07-01,69693364.0165,36031,1107130000.0,97.51,0.0,3950.0,22.29746409,null,
2013-07-02,66987913.3892,40821,1000070000.0,88.05,0.0,3825.0,35.68964129,null,
2013-07-03,66147577.0046,35507,1027160000.0,90.41,0.0,4625.0,29.48523635,null,
2013-07-04,69718355.2372,35434,896693000.0,78.89,0.0,4050.0,22.16351472,null,
2013-07-05,72605725.0026,36450,909526000.0,79.99,0.0,4475.0,33.4891456,null,
2013-07-06,46067871.5028,35431,779255000.0,68.5,0.0,4750.0,30.92358948,null,
2013-07-07,45065104.1387,29566,782352000.0,68.75,0.0,4850.0,17.77253004,null,
2013-07-08,52820328.0864,36817,870912000.0,76.5,0.0,4550.0,31.4434201,null,
2013-07-09,79071191.5932,41049,865585000.0,76.0,0.0,4825.0,35.04585076,null,
2013-07-10,87506401.7328,39922,874138000.0,76.72,0.0,4400.0,26.81968763,null,
2013-07-11,82079602.8047,41158,1003090000.0,88.0,0.0,4775.0,34.60590643,null,
2013-07-12,92748745.5804,48827,1014640000.0,88.98,0.0,4000.0,30.88380562,null,
2013-07-13,80625345.7926,39681,1072140000.0,93.99,0.0,3800.0,34.09145753,null,
2013-07-14,59303891.4571,33651,1126260000.0,98.7,0.0,4100.0,22.1297315,null,
2013-07-15,53011951.3566,36473,1068520000.0,93.61,0.0,4325.0,23.2125662,null,
2013-07-16,87183920.3779,39230,1129260000.0,98.89,0.0,4100.0,34.64459148,null,
2013-07-17,98355720.7235,40548,1104760000.0,96.71,0.0,4250.0,34.35175156,null,
2013-07-18,91390708.1405,41363,1125660000.0,98.5,0.0,4325.0,27.48021325,null,
2013-07-19,71516701.8109,37055,1029670000.0,90.07,0.0,4225.0,32.10967148,null,
2013-07-20,47272636.8494,33811,1052140000.0,92.0,0.0,4675.0,22.96289992,null,
2013-07-21,38996481.4146,35263,1027640000.0,89.82,0.0,4850.0,24.64534852,null,
2013-07-22,76097239.7172,38203,1053000000.0,92.0,0.0,4400.0,22.77125664,null,
2013-07-23,87407488.5534,39152,1048820000.0,91.6,0.0,3575.0,31.28714746,null,
2013-07-24,73335601.2554,40214,1094490000.0,95.56,0.0,3925.0,33.70948583,null,
2013-07-25,69612917.48,42235,1082800000.0,94.5,0.0,3425.0,34.44198333,null,
2013-07-26,77430090.7953,39901,1111160000.0,96.95,0.0,4375.0,22.03109172,null,
2013-07-27,46317375.0859,36626,1100900000.0,96.02,0.0,4200.0,31.41478594,null,
2013-07-28,46260094.5894,33147,1082750000.0,94.4,0.0,4425.0,20.28278282,null,
2013-07-29,73084052.6243,44648,1131340000.0,98.6,0.0,4350.0,32.816041,null,
2013-07-30,93788562.5509,39903,1164940000.0,101.49,0.0,4625.0,35.33521807,null,
2013-07-31,95006028.7091,51580,1239630000.0,107.95,0.0,4800.0,45.75584981,null,
2013-08-01,111688210.95,48467,1220190000.0,106.21,0.0,4850.0,32.62343537,null,
2013-08-02,89328838.5608,50759,1205070000.0,104.86,0.0,4600.0,39.86644539,null,
2013-08-03,69416173.3837,46711,1201490000.0,104.5,0.0,4250.0,26.82670848,null,
2013-08-04,50902787.4883,46054,1207100000.0,104.95,0.0,4400.0,33.64238002,null,
2013-08-05,78367886.9171,47983,1209520000.0,105.12,0.0,4875.0,26.92411131,null,
2013-08-06,75090130.0116,52043,1228440000.0,106.72,0.0,4600.0,40.48977578,null,
2013-08-07,78682324.8948,56974,1229100000.0,106.75,0.0,4575.0,30.50863112,null,
2013-08-08,76623671.0828,56992,1229100000.0,106.75,0.0,5000.0,49.88366029,null,
2013-08-09,60415115.9888,52486,1187920000.0,103.07,0.0,5150.0,44.97811212,null,
2013-08-10,50118600.313,52316,1185310000.0,102.8,0.0,4925.0,30.09904246,null,
2013-08-11,41627440.5413,39459,1188150000.0,103.0,0.0,5350.0,32.89432334,null,
2013-08-12,73357810.4151,47995,1211790000.0,105.0,0.0,5850.0,25.2498706,null,
2013-08-13,126851543.15,51711,1235340000.0,106.99,0.0,4700.0,29.03962614,null,
2013-08-14,145433012.564,51140,1265450000.0,109.56,0.0,3950.0,43.68051202,null,
2013-08-15,96013849.7331,59689,1300660000.0,112.56,0.0,4250.0,64.33394174,null,
2013-08-16,111881819.602,68632,1271470000.0,110.0,0.0,4225.0,45.1878648,null,
2013-08-17,102312327.998,55848,1260350000.0,108.99,0.0,4550.0,28.10946064,null,
2013-08-18,85606845.2079,55561,1304320000.0,112.75,0.0,5000.0,46.4707411,null,
2013-08-19,113913897.084,70647,1312160000.0,113.38,0.0,4500.0,38.02368753,null,
2013-08-20,102914644.314,64526,1377730000.0,119.0,0.0,4450.0,45.04735972,null,
2013-08-21,151306158.476,63259,1403890000.0,121.21,0.0,5100.0,34.16427786,null,
2013-08-22,95899883.7175,63946,1428700000.0,123.3,0.0,5275.0,37.27870579,null,
2013-08-23,91981179.2744,57493,1414290000.0,122.0,0.0,5350.0,34.30541551,null,
2013-08-24,67674866.9345,51291,1374420000.0,118.51,0.0,4550.0,28.25622737,null,
2013-08-25,62957896.9665,44977,1387640000.0,119.6,0.0,3675.0,30.69672002,null,
2013-08-26,73281129.1199,54694,1417200000.0,122.11,0.0,4200.0,39.9253731,null,
2013-08-27,97871863.4216,60616,1394010000.0,120.07,0.0,4150.0,39.9551381,null,
2013-08-28,94526049.915,63043,1468960000.0,126.48,0.0,4250.0,259.97574356,null,
2013-08-29,80774949.3783,62066,1424680000.0,122.62,0.0,5050.0,28.62638351,null,
2013-08-30,90460071.9538,61509,1422120000.0,122.35,0.0,4750.0,43.30919043,null,
2013-08-31,88483024.4076,50294,1547640000.0,133.09,0.0,5500.0,31.7263961,null,
2013-09-01,75934733.5931,44861,1572230000.0,135.14,0.0,5475.0,25.05146361,null,
2013-09-02,82816880.3771,50603,1613600000.0,138.63,0.0,5700.0,47.06920633,null,
2013-09-03,107252387.73,50369,1579180000.0,135.61,0.0,4650.0,30.7920692,null,
2013-09-04,103131375.658,51090,1590550000.0,136.53,0.0,4300.0,24.93143079,null,
2013-09-05,98751528.4558,61496,1477250000.0,126.76,0.0,4350.0,34.27211578,null,
2013-09-06,83087243.8757,62282,1474670000.0,126.49,0.0,4725.0,32.63392986,null,
2013-09-07,71429708.1325,52520,1386610000.0,118.89,0.0,3800.0,26.90479469,null,
2013-09-08,46446990.4828,46494,1448180000.0,124.13,0.0,3800.0,25.31622568,null,
2013-09-09,61606469.0755,55922,1422180000.0,121.86,0.0,4900.0,29.57194144,null,
2013-09-10,69657544.8148,54066,1485960000.0,127.27,0.0,4800.0,27.20827314,null,
2013-09-11,73440074.9559,49343,1470450000.0,125.89,0.0,5125.0,23.02719024,null,
2013-09-12,81036811.735,51395,1583960000.0,135.55,0.0,5075.0,29.12791881,null,
2013-09-13,84430699.0556,45362,1552880000.0,132.83,0.0,5125.0,21.41425676,null,
2013-09-14,70585375.2787,46737,1579050000.0,135.01,0.0,5575.0,21.86850927,null,
2013-09-15,46869000.8795,48661,1514140000.0,129.4,0.0,4450.0,25.09068677,null,
2013-09-16,72162996.9216,49431,1531820000.0,130.86,0.0,4050.0,30.18928293,null,
2013-09-17,81266517.9211,67604,1540880000.0,131.59,0.0,4400.0,95.5580382,null,
2013-09-18,87417893.3933,63322,1542870000.0,131.71,0.0,4000.0,309.86955795,null,
2013-09-19,95378140.4023,58698,1539430000.0,131.37,0.0,4725.0,99.36871364,null,
2013-09-20,94490543.628,59238,1520470000.0,129.7,0.0,5000.0,36.0643538,null,
2013-09-21,59900516.4861,53331,1488870000.0,126.95,0.0,4725.0,26.89067229,null,
2013-09-22,52472584.2011,51409,1500260000.0,127.87,0.0,5050.0,26.74028812,null,
2013-09-23,101206222.464,61049,1513940000.0,128.98,0.0,5500.0,36.59674869,null,
2013-09-24,126300588.95,64682,1480210000.0,126.05,0.0,5050.0,32.47423176,null,
2013-09-25,92049080.2624,56132,1496510000.0,127.38,0.0,5275.0,29.89207668,null,
2013-09-26,77626745.1903,52345,1506920000.0,128.21,0.0,4175.0,27.27674821,null,
