Date,Open,High,Low,Close,Volume,Adj Close
2017-04-18,1359.890015,1362.48999,1351.420044,1361.890015,32698400,1361.890015
2017-04-17,1345.359985,1361.25,1345.359985,1361.180054,28247100,1361.180054
2017-04-13,1358.609985,1361.319946,1345.23999,1345.23999,31438900,1345.23999
2017-04-12,1376.859985,1376.859985,1358.150024,1359.199951,31969500,1359.199951
2017-04-11,1366.469971,1377.22998,1360.540039,1376.949951,31174200,1376.949951
2017-04-10,1364.76001,1376.560059,1361.540039,1367.089966,27854100,1367.089966
2017-04-07,1363.839966,1367.50,1358.01001,1364.560059,30531500,1364.560059
2017-04-06,1351.959961,1364.52002,1349.339966,1364.430054,32019200,1364.430054
2017-04-05,1369.790039,1381.339966,1350.959961,1352.140015,37705200,1352.140015
2017-04-04,1368.579956,1374.050049,1363.300049,1368.180054,32062400,1368.180054
2017-04-03,1386.430054,1388.73999,1366.530029,1369.670044,34164000,1369.670044
2017-03-31,1382.199951,1389.949951,1380.119995,1385.920044,33541100,1385.920044
2017-03-30,1371.98999,1382.930054,1371.98999,1382.349976,31584200,1382.349976
2017-03-29,1366.680054,1373.130005,1363.349976,1371.640015,31069400,1371.640015
2017-03-28,1356.699951,1367.939941,1352.530029,1367.26001,33677800,1367.26001
2017-03-27,1352.699951,1359.329956,1335.040039,1357.319946,32402300,1357.319946
2017-03-24,1354.52002,1362.790039,1349.180054,1354.640015,29751300,1354.640015
2017-03-23,1345.420044,1361.219971,1343.290039,1353.430054,32606000,1353.430054
2017-03-22,1346.209961,1348.640015,1335.219971,1345.599976,35727300,1345.599976
2017-03-21,1385.530029,1390.199951,1346.030029,1346.550049,42655900,1346.550049
2017-03-20,1391.459961,1391.47998,1381.119995,1384.099976,30549300,1384.099976
2017-03-17,1385.27002,1393.180054,1380.689941,1391.52002,51780400,1391.52002
2017-03-16,1383.76001,1389.790039,1382.469971,1386.030029,33656600,1386.030029
2017-03-15,1363.359985,1385.689941,1363.359985,1382.829956,39068400,1382.829956
2017-03-14,1369.160034,1369.160034,1353.469971,1362.380005,31726300,1362.380005
2017-03-13,1365.160034,1373.25,1365.050049,1370.280029,31339000,1370.280029
2017-03-10,1361.150024,1369.050049,1356.689941,1365.26001,34329500,1365.26001
2017-03-09,1366.22998,1371.040039,1357.380005,1360.119995,37163400,1360.119995
2017-03-08,1375.660034,1381.959961,1365.839966,1366.040039,38121000,1366.040039
2017-03-07,1383.319946,1383.660034,1374.199951,1374.689941,35183900,1374.689941
2017-03-06,1392.339966,1392.339966,1378.449951,1384.25,32327000,1384.25
2017-03-03,1395.550049,1399.079956,1387.969971,1394.130005,35552600,1394.130005
2017-03-02,1413.160034,1413.160034,1395.160034,1395.670044,38213200,1395.670044
2017-03-01,1389.119995,1414.819946,1389.119995,1413.640015,43451800,1413.640015
2017-02-28,1406.869995,1406.869995,1386.530029,1386.680054,42101400,1386.680054
2017-02-27,1394.530029,1407.969971,1392.23999,1407.969971,35826100,1407.969971
2017-02-24,1393.619995,1394.530029,1382.209961,1394.52002,38315700,1394.52002
2017-02-23,1404.380005,1406.560059,1385.630005,1394.619995,40152600,1394.619995
2017-02-22,1410.109985,1410.109985,1401.300049,1403.859985,34686700,1403.859985
2017-02-21,1400.660034,1410.400024,1400.660034,1410.339966,35797800,1410.339966
2017-02-17,1399.069946,1399.859985,1392.670044,1399.859985,35130600,1399.859985
