Date,DJIA,S&P,NASDAQ
1985-07-19,1351.030029,194.380005,306.799988
1985-07-22,1356.180054,195.130005,306.899994
1985-07-23,1357.079956,194.350006,307.399994
1985-07-24,1349.800049,192.550003,305.0
1985-07-25,1349.130005,191.580002,303.700012
1985-07-26,1352.26001,192.059998,304.5
1985-07-29,1354.280029,192.399994,303.600006
1985-07-30,1340.390015,189.619995,300.600006
1985-07-31,1347.890015,189.929993,301.0
1985-08-01,1350.02002,190.919998,302.600006
1985-08-02,1354.280029,192.110001,304.299988
1985-08-05,1348.569946,191.479996,303.200012
1985-08-06,1345.880005,190.619995,302.100006
1985-08-07,1320.790039,187.929993,298.600006
1985-08-08,1324.709961,187.679993,298.399994
1985-08-09,1328.849976,188.949997,299.100006
1985-08-12,1318.77002,188.320007,298.600006
1985-08-13,1314.630005,187.630005,298.200012
1985-08-14,1318.550049,187.300003,297.100006
1985-08-15,1318.439941,187.41000400000001,298.200012
1985-08-16,1312.609985,187.259995,297.0
1985-08-19,1312.050049,186.100006,296.200012
1985-08-20,1315.969971,186.380005,296.100006
1985-08-21,1323.920044,188.080002,296.899994
1985-08-22,1330.420044,189.110001,297.799988
1985-08-23,1316.420044,187.220001,296.799988
1985-08-26,1316.640015,187.169998,296.200012
1985-08-27,1321.23999,187.309998,295.799988
1985-08-28,1322.920044,188.100006,296.399994
1985-08-29,1331.209961,188.729996,297.100006
1985-08-30,1335.459961,188.929993,297.200012
1985-09-03,1333.670044,188.630005,297.299988
1985-09-04,1329.079956,187.91000400000001,296.299988
1985-09-05,1326.390015,187.369995,295.200012
1985-09-06,1327.170044,187.270004,295.5
1985-09-09,1335.130005,188.240005,295.700012
1985-09-10,1337.930054,188.25,296.200012
1985-09-11,1330.199951,186.899994,293.399994
1985-09-12,1317.430054,185.029999,290.100006
1985-09-13,1314.959961,183.690002,289.299988
1985-09-16,1307.349976,182.91000400000001,286.399994
1985-09-17,1308.579956,182.880005,285.0
1985-09-18,1295.25,181.360001,279.899994
1985-09-19,1298.839966,181.71000700000002,281.700012
1985-09-20,1306.339966,183.389999,284.899994
1985-09-23,1313.959961,182.050003,285.899994
1985-09-24,1314.73999,184.300003,285.5
1985-09-25,1323.47998,182.619995,283.299988
1985-09-26,1310.599976,180.66000400000001,280.299988
1985-09-30,1330.089966,181.300003,280.5
1985-10-01,1329.640015,182.059998,280.600006
1985-10-02,1343.410034,185.070007,282.100006
1985-10-03,1332.209961,184.059998,280.700012
1985-10-04,1330.089966,184.360001,280.600006
1985-10-07,1326.050049,183.220001,279.299988
1985-10-08,1325.040039,181.869995,277.299988
1985-10-09,1324.47998,181.869995,277.899994
1985-10-10,1325.599976,182.520004,277.899994
1985-10-11,1328.290039,182.779999,279.899994
1985-10-14,1340.390015,184.309998,282.5
1985-10-15,1356.73999,186.369995,285.299988
1985-10-16,1351.930054,186.080002,285.700012
1985-10-17,1366.939941,187.979996,287.399994
1985-10-18,1368.839966,187.66000400000001,288.600006
1985-10-21,1367.050049,187.03999299999998,288.299988
1985-10-22,1364.25,186.96000700000002,287.799988
1985-10-23,1364.469971,188.03999299999998,289.299988
1985-10-24,1367.380005,189.08999599999999,290.399994
1985-10-25,1360.099976,188.5,290.0
1985-10-28,1353.050049,187.520004,288.700012
1985-10-29,1361.780029,187.759995,290.0
1985-10-30,1373.050049,189.229996,291.799988
1985-10-31,1375.459961,190.070007,292.799988
1985-11-01,1372.130005,189.820007,293.0
1985-11-04,1388.069946,191.449997,294.700012
1985-11-05,1386.810059,191.25,295.299988
1985-11-06,1398.390015,192.369995,296.299988
1985-11-07,1400.109985,192.779999,297.399994
1985-11-08,1397.939941,192.619995,298.0
1985-11-11,1405.72998,193.720001,300.5
1985-11-12,1431.079956,197.279999,303.5
1985-11-13,1432.680054,198.080002,304.0
1985-11-14,1425.689941,197.100006,303.799988
1985-11-15,1435.780029,199.059998,305.799988
1985-11-18,1433.26001,198.110001,306.100006
1985-11-19,1444.719971,198.71000700000002,307.0
1985-11-20,1440.369995,198.669998,307.100006
1985-11-21,1445.300049,198.990005,308.100006
1985-11-22,1460.780029,201.41000400000001,310.200012
1985-11-25,1462.839966,201.520004,310.100006
1985-11-26,1456.540039,200.350006,309.600006
1985-11-27,1460.439941,200.669998,311.600006
1985-11-29,1480.280029,202.53999299999998,313.700012
1985-12-02,1471.329956,202.169998,313.899994
1985-12-03,1455.050049,200.46000700000002,312.700012
1985-12-04,1463.76001,200.860001,313.899994
1985-12-05,1490.369995,204.229996,318.200012
1985-12-06,1476.719971,203.880005,316.600006
1985-12-09,1483.939941,202.990005,316.799988
1985-12-10,1498.849976,204.25,316.799988
1985-12-11,1498.170044,204.389999,317.700012
1985-12-12,1512.040039,206.309998,320.399994
1985-12-13,1515.47998,206.729996,322.100006
1985-12-16,1538.300049,209.940002,324.700012
1985-12-17,1556.880005,212.020004,323.899994
1985-12-18,1543.119995,210.649994,323.200012
1985-12-19,1540.369995,209.809998,322.399994
1985-12-20,1548.73999,210.020004,322.799988
1985-12-23,1539.219971,210.57000699999998,322.5
1985-12-24,1526.380005,208.570007,320.399994
1985-12-26,1520.76001,207.139999,320.200012
1985-12-27,1530.160034,207.649994,321.799988
1985-12-30,1546.099976,209.610001,323.0
1985-12-31,1552.290039,210.67999300000002,323.600006
1986-01-02,1546.219971,211.27999900000003,325.0
1986-01-03,1540.02002,209.58999599999999,325.200012
1986-01-06,1550.0,210.88000499999998,325.5
1986-01-07,1552.060059,210.649994,327.5
1986-01-08,1570.98999,213.80000299999998,331.200012
1986-01-09,1516.060059,207.970001,325.5
1986-01-10,1520.76001,206.110001,324.399994
1986-01-13,1511.930054,205.96000700000002,323.799988
1986-01-14,1526.380005,206.720001,325.200012
1986-01-15,1519.839966,206.639999,325.899994
1986-01-16,1531.079956,208.259995,328.899994
1986-01-17,1541.170044,209.169998,330.299988
1986-01-20,1530.849976,208.429993,329.100006
1986-01-21,1530.390015,207.529999,329.5
1986-01-22,1513.420044,205.78999299999998,328.5
1986-01-23,1500.339966,203.490005,325.899994
1986-01-24,1517.430054,204.25,327.600006
1986-01-27,1536.579956,206.429993,329.399994
1986-01-28,1540.369995,207.419998,331.399994
1986-01-29,1558.140015,209.809998,334.799988
1986-01-30,1558.369995,210.289993,334.899994
1986-01-31,1551.26001,209.330002,334.399994
1986-02-03,1570.530029,211.77999900000003,336.100006
1986-02-04,1596.670044,213.960007,338.600006
1986-02-05,1590.140015,212.83999599999999,338.200012
1986-02-06,1595.76001,212.960007,339.700012
1986-02-07,1590.140015,213.47000099999997,340.100006
1986-02-10,1614.449951,214.559998,343.200012
1986-02-11,1624.890015,216.24000499999997,344.399994
1986-02-12,1625.339966,215.919998,345.5
1986-02-13,1632.569946,215.97000099999997,346.899994
1986-02-14,1645.410034,217.399994,348.799988
1986-02-18,1661.579956,219.75999500000003,350.799988
1986-02-19,1673.050049,222.44999700000002,353.200012
1986-02-20,1652.75,219.75999500000003,352.100006
1986-02-21,1681.540039,222.22000099999997,355.649994
1986-02-24,1689.790039,224.580002,355.700012
1986-02-25,1695.9899899999998,224.33999599999999,355.399994
1986-02-26,1694.040039,223.72000099999997,355.0
1986-02-27,1701.8299559999998,224.039993,355.899994
1986-02-28,1722.589966,226.770004,359.5
1986-03-03,1706.189941,226.919998,360.0
1986-03-04,1699.109985,225.419998,360.899994
1986-03-05,1681.630005,224.13999900000002,360.0
1986-03-06,1698.640015,224.38999900000002,360.899994
1986-03-07,1694.800049,225.13000499999998,362.399994
1986-03-10,1698.040039,225.57000699999998,363.200012
1986-03-11,1714.800049,226.580002,365.299988
1986-03-12,1750.0,231.690002,368.899994
1986-03-13,1740.060059,232.539993,369.299988
1986-03-14,1761.140015,233.190002,371.100006
1986-03-17,1777.060059,236.55000299999998,370.200012
1986-03-18,1772.27002,234.669998,371.0
1986-03-19,1796.699951,235.77999900000003,372.399994
1986-03-20,1793.819946,235.600006,372.700012
1986-03-21,1807.949951,236.539993,373.100006
1986-03-24,1784.359985,233.33999599999999,372.299988
1986-03-25,1781.0100100000002,235.330002,369.799988
1986-03-26,1784.119995,234.72000099999997,369.700012
1986-03-27,1822.199951,237.30000299999998,372.299988
1986-03-31,1824.22998,238.97000099999997,373.899994
1986-04-01,1822.0799559999998,238.899994,375.799988
1986-04-02,1786.280029,235.13999900000002,372.399994
1986-04-03,1796.459961,235.710007,375.100006
1986-04-04,1762.930054,232.47000099999997,373.799988
1986-04-07,1734.550049,228.690002,370.0
1986-04-08,1750.359985,228.63000499999998,370.799988
1986-04-09,1784.359985,233.520004,374.600006
1986-04-10,1791.069946,233.75,374.700012
1986-04-11,1800.719971,236.440002,379.200012
1986-04-14,1791.4200440000002,235.97000099999997,379.399994
1986-04-15,1799.8499760000002,237.27999900000003,381.100006
1986-04-16,1823.410034,237.729996,384.600006
1986-04-17,1849.0799559999998,242.22000099999997,388.799988
1986-04-18,1851.810059,243.02999900000003,390.100006
1986-04-21,1842.5100100000002,242.38000499999998,390.399994
1986-04-22,1858.2600100000002,244.74000499999997,392.200012
1986-04-23,1823.410034,242.419998,389.399994
1986-04-24,1831.719971,241.75,390.0
1986-04-25,1836.430054,242.020004,392.299988
1986-04-28,1834.199951,242.289993,392.5
1986-04-29,1848.8299559999998,243.080002,391.5
1986-04-30,1825.4000239999998,240.520004,387.299988
1986-05-01,1777.9000239999998,235.520004,383.200012
1986-05-02,1782.2399899999998,235.16000400000001,383.0
1986-05-05,1777.530029,234.789993,384.299988
1986-05-06,1799.359985,237.729996,386.799988
1986-05-07,1782.369995,236.559998,385.799988
1986-05-08,1780.75,236.080002,386.5
1986-05-09,1779.640015,237.13000499999998,387.299988
